site_name,species_trees,ave_basal_area
Split Rock 2021,WC,0.181818182
Split Rock 2021,WS,5.090909091
Split Rock 2021 NE Patch,BF,6.666666667
Split Rock 2021 NE Patch,PB,6.666666667
Split Rock 2021 NE Patch,QA,3.333333333
Split Rock Crazy Bay,PB,13.33333333
Split Rock Crazy East,PB,25
Split Rock Exclosure,BA,2.222222222
Split Rock Exclosure,BF,3.333333333
Split Rock Exclosure,PB,5.555555556
Split Rock Exclosure,QA,10
Split Rock Exclosure,WS,3.333333333
Split Rock Jon,BA,5
Split Rock Jon,PB,15
Split Rock Jon,QA,5
Split Rock Jon,WS,5
Split Rock Merrill 61,PB,7.5
Split Rock Merrill 61,RM,7.5
Split Rock Merrill 61,WS,7.5
Split Rock Pine,PB,100
Split Rock South,PB,30
Split Rock South,RM,5
Sugarloaf South,PB,5.512820513
Sugarloaf South,QA,0.128205128
Sugarloaf South,RM,0.384615385
Sugarloaf South,RP,3.205128205
Sugarloaf South,WP,0.128205128
Sugarloaf South,WS,6.282051282
Sugarloaf South,(blank),0.256410256
Toohey,BA,1.111111111
Toohey,BF,6.111111111
Toohey,BS,2.222222222
Toohey,PB,12.77777778
Toohey,QA,5
Toohey,RM,16.11111111
Toohey,RP,1.111111111
Trumpet 10,BF,0.526315789
Trumpet 10,JP,2.105263158
TURKEY SALVAGE MSP EAST,QA,2.5
TURKEY SALVAGE MSP EAST,RP,32.5
TURKEY SALVAGE MSP WEST,RP,107.5
Worm 1,BF,0.2
Worm 1,PB,1.2
Worm 1,QA,0.2
Worm 1,RM,1.2
